Population,Latitude,Longitude,LFY,WXY,PIST,ADH,RPB2,MS
12,27.18,-112.67,1:2,1:2,1:1,1:1,1:1,1:1
12,27.18,-112.67,1:1,2:2,1:1,1:1,1:1,1:1
12,27.18,-112.67,1:1,1:2,1:1,1:1,1:1,1:1
12,27.18,-112.67,1:1,2:2,1:2,1:1,1:2,1:1
12,27.18,-112.67,1:1,1:1,1:1,1:1,1:2,1:1
12,27.18,-112.67,1:1,2:2,1:2,1:1,1:2,1:1
12,27.18,-112.67,1:1,1:2,1:1,1:1,2:2,1:1
12,27.18,-112.67,1:1,1:1,1:2,1:1,2:2,1:1
12,27.18,-112.67,1:1,1:2,1:1,1:1,1:2,1:1
43,23.08,-110.03,1:1,2:2,1:1,1:1,1:1,1:1
43,23.08,-110.03,1:1,2:2,1:1,1:1,1:2,1:1
43,23.08,-110.03,1:1,2:2,1:1,1:1,1:2,1:1
43,23.08,-110.03,1:1,2:2,1:1,1:1,1:1,1:1
43,23.08,-110.03,1:1,2:2,1:1,1:1,1:2,1:1
48,24.21,-110.27,1:1,2:2,1:1,1:1,1:2,1:1
48,24.21,-110.27,1:1,2:2,1:1,1:1,1:1,1:1
48,24.21,-110.27,1:1,2:2,1:1,1:1,1:1,1:1
48,24.21,-110.27,1:1,2:2,1:1,1:1,1:1,1:1
48,24.21,-110.27,1:1,2:2,1:1,1:1,1:1,1:2
48,24.21,-110.27,1:1,2:2,1:1,1:1,1:1,1:1
48,24.21,-110.27,1:1,2:2,1:1,1:1,1:3,1:1
48,24.21,-110.27,1:1,2:2,1:1,1:1,1:1,1:1
51,25.35,-111.6,1:1,1:2,1:3,1:1,2:2,1:1
51,25.35,-111.6,1:1,2:2,1:1,1:1,1:1,1:1
51,25.35,-111.6,1:1,1:2,1:1,1:1,2:2,1:1
51,25.35,-111.6,1:1,1:2,1:1,1:1,1:2,1:1
51,25.35,-111.6,1:1,1:2,1:1,1:1,1:2,1:1
51,25.35,-111.6,1:1,1:2,1:1,1:1,1:1,1:1
51,25.35,-111.6,1:1,1:2,1:3,1:1,2:2,1:1
51,25.35,-111.6,1:1,1:2,1:1,1:1,1:2,1:1
51,25.35,-111.6,1:1,2:2,1:1,1:1,1:1,1:1
51,25.35,-111.6,1:1,1:2,1:1,1:1,1:2,1:1
58,26.02,-111.35,1:1,1:1,1:2,1:1,1:2,1:1
58,26.02,-111.35,1:1,1:2,1:1,1:1,1:2,1:1
58,26.02,-111.35,1:1,1:1,NA,1:1,1:2,1:1
58,26.02,-111.35,1:1,1:1,1:1,1:1,1:2,1:1
58,26.02,-111.35,NA,1:2,1:1,1:1,1:2,1:1
58,26.02,-111.35,1:1,1:2,1:2,1:1,2:2,1:1
58,26.02,-111.35,1:1,1:1,1:2,1:1,2:2,1:1
58,26.02,-111.35,1:1,1:2,2:2,1:1,1:2,1:1
58,26.02,-111.35,1:1,1:1,1:3,1:1,2:2,1:1
64,25.61,-111.33,1:1,1:1,1:1,1:1,1:1,1:1
64,25.61,-111.33,1:2,1:2,1:1,1:1,1:1,1:1
64,25.61,-111.33,1:1,1:2,1:1,1:1,1:1,1:2
64,25.61,-111.33,1:1,1:2,1:1,1:1,1:1,1:2
64,25.61,-111.33,1:1,2:2,1:1,1:1,1:1,1:1
73,24.01,-109.85,1:2,2:2,1:1,1:1,1:1,1:2
73,24.01,-109.85,1:2,2:2,1:1,1:1,1:2,1:2
73,24.01,-109.85,1:1,2:2,1:1,1:1,1:1,1:1
73,24.01,-109.85,1:2,2:2,1:1,1:1,1:1,1:1
73,24.01,-109.85,1:1,2:2,1:1,1:1,1:2,1:1
73,24.01,-109.85,1:2,2:2,1:1,1:1,1:1,1:1
73,24.01,-109.85,1:2,2:2,1:1,1:1,1:1,1:1
75,24.59,-110.75,1:1,2:2,1:1,1:1,1:1,1:1
75,24.59,-110.75,1:1,1:2,1:1,1:1,1:1,1:1
75,24.59,-110.75,1:1,2:2,1:1,1:1,1:2,1:1
75,24.59,-110.75,1:1,2:2,1:1,1:1,1:2,1:1
75,24.59,-110.75,1:2,1:2,1:1,1:1,1:2,1:1
75,24.59,-110.75,1:1,2:2,1:1,1:1,1:1,1:1
75,24.59,-110.75,1:2,1:2,1:1,1:2,1:2,1:1
75,24.59,-110.75,1:2,1:2,1:1,1:1,1:1,1:1
77,24.88,-110.69,1:2,2:2,1:3,1:1,1:2,1:1
77,24.88,-110.69,1:2,2:2,1:3,1:1,1:1,1:1
77,24.88,-110.69,1:1,1:2,1:1,1:1,1:2,1:1
77,24.88,-110.69,1:2,2:2,1:3,1:1,1:2,1:1
77,24.88,-110.69,1:1,1:2,1:1,1:1,1:1,1:2
77,24.88,-110.69,1:2,2:2,1:3,1:1,1:1,1:1
77,24.88,-110.69,1:1,2:2,1:1,1:1,2:2,1:1
77,24.88,-110.69,1:1,2:2,1:1,1:1,2:2,1:1
77,24.88,-110.69,1:2,1:2,1:1,1:1,1:2,1:1
77,24.88,-110.69,1:2,1:2,1:1,1:1,1:2,1:1
77,24.88,-110.69,1:1,2:2,1:1,1:1,1:2,1:1
84,28.97,-113.67,1:1,2:2,1:2,1:1,1:1,1:1
84,28.97,-113.67,1:1,2:2,1:2,1:1,1:1,1:1
84,28.97,-113.67,1:1,1:2,2:2,1:1,1:1,1:1
84,28.97,-113.67,1:1,1:2,1:2,1:1,1:2,1:1
84,28.97,-113.67,1:1,1:2,1:1,1:1,1:1,1:1
84,28.97,-113.67,1:1,1:2,2:2,1:1,1:2,1:1
84,28.97,-113.67,1:2,1:2,2:2,1:1,2:2,1:1
84,28.97,-113.67,1:1,1:2,1:2,1:1,1:1,1:1
84,28.97,-113.67,1:1,1:2,1:1,1:1,1:2,1:1
84,28.97,-113.67,1:1,2:2,2:2,1:1,1:1,1:1
88,29.33,-114.29,1:1,2:2,1:3,1:1,1:1,1:1
88,29.33,-114.29,1:1,1:2,1:1,1:1,1:2,1:1
88,29.33,-114.29,1:1,1:2,1:3,1:1,1:1,1:1
88,29.33,-114.29,1:1,2:2,1:1,1:1,1:1,1:1
88,29.33,-114.29,1:1,2:2,2:2,1:1,1:2,1:1
88,29.33,-114.29,1:1,1:2,3:3,1:1,1:2,1:1
88,29.33,-114.29,1:1,1:2,1:1,1:1,1:1,1:1
88,29.33,-114.29,1:1,2:2,1:1,1:2,1:1,1:1
88,29.33,-114.29,1:2,2:2,1:2,1:1,1:1,1:1
88,29.33,-114.29,1:1,2:2,1:1,1:1,1:2,1:1
89,28.04,-113.4,1:1,2:2,1:1,1:2,1:1,1:1
89,28.04,-113.4,1:2,1:1,1:1,1:1,2:2,1:1
89,28.04,-113.4,1:1,1:2,1:1,1:1,1:2,1:1
89,28.04,-113.4,1:1,1:2,1:3,1:1,2:2,1:1
89,28.04,-113.4,1:1,1:1,1:1,1:1,2:2,1:1
89,28.04,-113.4,1:1,1:2,1:2,1:1,1:2,1:1
89,28.04,-113.4,1:1,2:2,1:1,1:1,1:1,1:1
89,28.04,-113.4,1:1,1:1,1:1,1:1,1:1,1:1
89,28.04,-113.4,1:1,1:2,1:1,1:2,1:2,1:1
89,28.04,-113.4,1:1,1:2,1:2,1:2,1:2,1:1
93,26.95,-112.05,1:1,2:2,1:1,1:1,1:1,1:1
93,26.95,-112.05,1:1,2:2,1:1,1:1,1:2,1:1
93,26.95,-112.05,1:1,1:2,1:1,1:1,1:2,1:1
93,26.95,-112.05,1:1,1:1,1:1,1:1,1:2,1:1
93,26.95,-112.05,1:2,1:2,1:2,1:1,1:1,1:1
93,26.95,-112.05,1:1,1:2,1:1,1:1,1:1,1:1
93,26.95,-112.05,1:1,1:1,1:2,1:1,1:1,1:1
93,26.95,-112.05,1:1,2:2,1:1,1:1,1:1,1:1
93,26.95,-112.05,1:1,2:2,1:1,1:1,1:1,1:1
93,26.95,-112.05,1:1,1:1,1:1,1:1,1:2,1:1
98,23.08,-109.65,1:1,2:2,1:1,1:1,1:1,1:1
98,23.08,-109.65,1:1,2:2,1:1,1:1,1:1,1:1
98,23.08,-109.65,1:1,2:2,1:1,1:1,1:2,1:1
98,23.08,-109.65,1:1,2:2,1:1,1:1,1:1,1:1
98,23.08,-109.65,1:1,2:2,1:1,1:1,1:1,1:1
98,23.08,-109.65,1:1,2:2,1:1,1:1,1:1,1:1
98,23.08,-109.65,1:1,2:2,1:1,1:1,1:1,1:1
98,23.08,-109.65,1:1,2:2,1:1,1:1,1:1,1:1
98,23.08,-109.65,1:1,2:2,1:1,1:1,1:1,1:1
98,23.08,-109.65,1:1,2:2,1:1,1:1,1:1,1:1
98,23.08,-109.65,1:1,2:2,1:1,1:1,1:1,1:1
153,24.13,-110.46,1:1,2:2,1:1,1:1,1:2,1:1
153,24.13,-110.46,1:1,2:2,1:1,1:1,1:1,1:1
153,24.13,-110.46,1:1,2:2,1:1,1:1,1:2,1:1
153,24.13,-110.46,1:1,2:2,1:2,1:1,1:1,1:1
153,24.13,-110.46,1:1,1:2,1:2,1:1,1:1,1:1
153,24.13,-110.46,1:1,2:2,1:1,1:1,1:2,1:1
153,24.13,-110.46,1:1,1:1,1:1,1:1,1:1,1:1
153,24.13,-110.46,1:1,2:2,1:1,1:1,1:1,1:1
153,24.13,-110.46,1:1,2:2,1:1,1:1,1:1,1:1
153,24.13,-110.46,1:1,2:2,2:2,1:1,1:2,1:1
156,24.04,-109.99,1:1,2:2,1:1,1:1,1:1,1:1
156,24.04,-109.99,1:1,2:2,1:1,1:1,1:1,1:1
156,24.04,-109.99,1:1,2:2,1:1,1:1,1:2,1:1
156,24.04,-109.99,1:1,2:2,1:1,1:1,1:1,1:1
156,24.04,-109.99,1:1,2:2,1:1,1:1,1:1,1:1
156,24.04,-109.99,1:1,2:2,1:1,1:1,1:1,1:1
156,24.04,-109.99,1:1,2:2,1:1,1:1,2:2,1:1
156,24.04,-109.99,NA,2:2,1:1,1:1,1:2,1:1
156,24.04,-109.99,1:1,2:2,1:1,1:1,1:1,1:1
156,24.04,-109.99,1:1,2:2,1:1,1:1,1:2,1:2
